,Name,Rating,Reviews,Jobs,Salary_reviews,Highly_rated,Poorly_rated,Details
1721,H & R Johnson,3.9,392,--,1.4k,Salary & Benefits,NaN,Building Material | 1k-5k Employees | 27 years old | Staffordshire +68 more
1722,Al Turki Enterprises,3.6,392,--,1.4k,NaN,NaN,Oil & Gas | 501-1k Employees | 18 years old | Muscat +10 more
1723,Collegedunia,3.2,392,368,2.3k,"Job Security, Promotions / Appraisal",NaN,EdTech | 1k-5k Employees | Startup | 9 years old | Gurgaon/Gurugram +14 more
1724,Airports Authority of India,4.3,392,--,1.6k,"Work Life Balance, Job Security, Company Culture",NaN,Aviation | 10k-50k Employees | Central | 28 years old | Delhi/NCR +77 more
1725,Gandhi Automations,4.1,392,11,1.2k,"Salary & Benefits, Skill Development / Learning, Job Security",NaN,Industrial Machinery | 501-1k Employees | 27 years old | Mumbai +18 more
1726,Karvy Data Management,3.1,392,--,735,"Salary & Benefits, Promotions / Appraisal, Job Security",NaN,Hyderabad/Secunderabad +38 more
1727,Godrej Industries,4.1,392,130,2.2k,"Company Culture, Work Life Balance, Job Security",NaN,Chemicals | 1k-5k Employees | Public | 60 years old | Mumbai +49 more
1728,BSH Home Appliances Group,4.1,392,2,1.2k,"Work Life Balance, Company Culture, Salary & Benefits",NaN,Consumer Electronics & Appliances | 1k-5k Employees | 56 years old | Munich +37 more
1729,Henry Harvin Education,4.2,392,52,538,"Work Life Balance, Job Security, Skill Development / Learning",NaN,EdTech | 51-200 Employees | 8 years old | Noida +12 more
1730,Ge T & D India,4.2,391,--,1.7k,"Company Culture, Work Life Balance, Salary & Benefits",NaN,Electrical Equipment | 201-500 Employees | Public | 66 years old | Henderson +32 more
1731,CMC,4.2,391,--,1.1k,"Skill Development / Learning, Work Satisfaction, Job Security",NaN,Education & Training | 10k-50k Employees | Public | 55 years old | Bhopal +53 more
1732,Amtek Auto,3.9,390,--,1.8k,NaN,NaN,Auto Components | 1k-5k Employees | Public | 38 years old | Delhi/NCR +30 more
1733,Ess Kay Fincorp,4.0,390,6,1.3k,"Company Culture, Skill Development / Learning, Work Satisfaction",NaN,NBFC | 5k-10k Employees | Public | 29 years old | Jaipur +107 more
1734,Ather Energy,4.0,390,14,2.7k,"Company Culture, Skill Development / Learning, Work Life Balance",NaN,Automobile | 1k-5k Employees | Startup | 10 years old | Bangalore +30 more
1735,Toyota Industries Engine India,4.3,390,--,1.5k,"Company Culture, Salary & Benefits, Skill Development / Learning",NaN,Industrial Machinery | 501-1k Employees | 28 years old | Kariya +4 more
1736,Vaaman Engineers,3.8,390,5,1.6k,NaN,NaN,Engineering & Construction | 1k-5k Employees | 33 years old | Mumbai +26 more
1737,Reshamandi,3.8,390,4,486,"Company Culture, Salary & Benefits",NaN,Fashion & Textile | 501-1k Employees | Startup | 3 years old | Bangalore +30 more
1738,ASG Eye Hospital,3.9,389,--,1.3k,Skill Development / Learning,NaN,Healthcare | 501-1k Employees | 18 years old | Jodhpur +58 more
1739,Nagarjuna Fertilizers and Chemicals,4.0,389,1,1.5k,"Skill Development / Learning, Work Life Balance, Company Culture",NaN,Agro Chemicals | 501-1k Employees | 38 years old | Hyderabad/Secunderabad +62 more
1740,LanceSoft,3.2,389,126,2.9k,"Job Security, Promotions / Appraisal, Work Satisfaction",NaN,Recruitment | 1k-5k Employees | 23 years old | Herndon +22 more
1741,Texmo Industries,3.9,389,11,1.6k,"Job Security, Company Culture",NaN,Industrial Machinery | 501-1k Employees | 67 years old | Coimbatore +30 more
1742,Celebi Aviation Holding,4.0,389,4,783,"Skill Development / Learning, Company Culture, Salary & Benefits",NaN,Mumbai +12 more
1743,Larsen & Toubro Group,4.1,388,--,1.3k,"Job Security, Skill Development / Learning, Company Culture",NaN,Engineering & Construction | 1 Lakh+ Employees | Chennai +70 more
1744,Lenovo,4.1,388,28,3k,"Work Life Balance, Company Culture, Skill Development / Learning",NaN,Consumer Electronics & Appliances | 1k-5k Employees | 18 years old | Quarry Bay +72 more
1745,Satya MicroCapital,3.7,388,8,1.4k,Salary & Benefits,NaN,Financial Services | 1k-5k Employees | Public | 7 years old | Delhi +105 more
1746,RuralShores,4.1,388,1,1.2k,"Work Satisfaction, Skill Development / Learning, Job Security",NaN,BPO | 1k-5k Employees | 15 years old | Bangalore +38 more
1747,PepsiCo (India) Holdings,4.3,388,--,1.5k,"Work Life Balance, Skill Development / Learning, Company Culture",NaN,Food Processing | 5k-10k Employees | Gurgaon/Gurugram +84 more
1748,Prince Pipes & Fittings,4.2,388,10,1.9k,"Job Security, Skill Development / Learning, Company Culture",NaN,Building Material | 1k-5k Employees | Public | 36 years old | Mumbai +47 more
1749,DHL Global Forwarding,4.2,387,5,2.5k,"Job Security, Company Culture, Work Life Balance",NaN,Logistics | 501-1k Employees | 208 years old | Bonn +20 more
1750,Vedang Cellular Services,4.1,387,4,1.4k,"Salary & Benefits, Skill Development / Learning, Company Culture",NaN,Telecom | 501-1k Employees | 13 years old | Mumbai +51 more
1751,Corteva Agriscience,4.3,387,--,2k,"Company Culture, Job Security, Work Life Balance",NaN,Agriculture | 1k-5k Employees | Public | 4 years old | Wilmington +69 more
1752,_VOIS,4.1,387,41,1.6k,"Job Security, Work Life Balance, Company Culture",NaN,Telecom | 10k-50k Employees (Global) | 17 years old | Pune +10 more
1753,Cadbury,4.5,386,--,909,"Skill Development / Learning, Salary & Benefits, Company Culture",NaN,Food Processing | 1k-5k Employees | 199 years old | London +84 more
1754,Go First,3.5,386,9,2.2k,NaN,NaN,Aviation | 1k-5k Employees | Public | 18 years old | Mumbai +32 more
1755,Vijai Electricals,3.5,386,1,1.6k,Promotions / Appraisal,NaN,Power | 5k-10k Employees | 50 years old | Hyderabad/Secunderabad +35 more
1756,Sayaji Hotels,4.3,386,7,1.2k,"Company Culture, Skill Development / Learning, Job Security",NaN,Hospitality | 1k-5k Employees | Public | 36 years old | Indore +25 more
1757,Acadecraft,3.0,386,32,902,"Job Security, Work Satisfaction, Promotions / Appraisal",NaN,EdTech | 201-500 Employees | 12 years old | Noida +12 more
1758,Moser Baer,3.9,385,--,1.1k,"Skill Development / Learning, Work Life Balance, Company Culture",NaN,Consumer Electronics & Appliances | 1k-5k Employees | Public | 40 years old | Delhi/NCR +12 more
1759,Porter,4.0,385,113,1.9k,"Company Culture, Work Life Balance, Skill Development / Learning",NaN,Internet | 1k-5k Employees | Startup | 9 years old | Bangalore +21 more
1760,Kajaria Ceramics,4.1,385,1,1.7k,"Job Security, Work Life Balance, Company Culture",NaN,Building Material | 1k-5k Employees | Public | 38 years old | Delhi/NCR +61 more
1761,Jayaswal Neco Industries,4.1,385,--,1.8k,"Job Security, Work Life Balance, Skill Development / Learning",NaN,Iron & Steel | 1k-5k Employees | Public | 51 years old | Nagpur +21 more
1762,Capco Technologies,3.7,384,127,3.3k,Work Life Balance,NaN,IT Services & Consulting | 1k-5k Employees | 25 years old | London +14 more
1763,Pamac Finserve,3.6,384,--,1.5k,NaN,NaN,Financial Services | 501-1k Employees | 28 years old | Mumbai +53 more
1764,Moglix,3.6,384,242,2.4k,NaN,NaN,Internet | 501-1k Employees | Indian Unicorn | 8 years old | Singapore +33 more
1765,Heidelberg Cement,4.1,384,1,1.7k,"Job Security, Company Culture, Work Life Balance",NaN,Building Material | 1k-5k Employees | Forbes Global 2000 | 17 years old | Gurgaon/Gurugram +55 more
1766,Craftsman Automation,3.8,384,--,2.5k,"Salary & Benefits, Skill Development / Learning",NaN,Industrial Machinery | 1k-5k Employees | 37 years old | Coimbatore +18 more
1767,SMC Global Securities,3.3,384,21,2.1k,NaN,NaN,1k-5k Employees | Public | 29 years old | SMC Global Securities Ltd. +55 more
1768,Sudarshan Chemical Industries,3.7,384,2,2.2k,NaN,NaN,Chemicals | 1k-5k Employees | Public | 71 years old | Pune +20 more
1769,Foray Software,3.6,383,28,3.6k,NaN,NaN,IT Services & Consulting | 501-1k Employees | 12 years old | Hyderabad/Secunderabad +15 more
1770,Westin,3.8,383,--,1.4k,Skill Development / Learning,NaN,Hospitality | 1k-5k Employees | 93 years old | Kolkata +27 more
1771,IRB Infrastructure,4.2,383,23,1.3k,"Work Life Balance, Job Security, Company Culture",NaN,Engineering & Construction | 5k-10k Employees | Public | 25 years old | Mumbai +47 more
1772,Optimum Infosystem,3.5,383,47,2.2k,NaN,NaN,IT Services & Consulting | 1k-5k Employees | 26 years old | Singapore +13 more
1773,Bajaj Capital Insurance,3.7,383,--,1.2k,NaN,NaN,Insurance | 1k-5k Employees | 19 years old | New Delhi +99 more
1774,Maersk Line,4.3,382,12,2.5k,"Work Life Balance, Company Culture, Job Security",NaN,Logistics | 201-500 Employees | Public | 119 years old | Copenhagen +25 more
1775,NetConnectGlobal,3.6,382,277,2.2k,NaN,NaN,IT Services & Consulting | 1k-5k Employees | 26 years old | Bangalore/Bengaluru +40 more
1776,Veritas Finance,4.2,382,--,1.4k,"Job Security, Company Culture, Salary & Benefits",NaN,Internet | 1k-5k Employees | Startup | 8 years old | Chennai +132 more
1777,Kirloskar Pneumatic,4.1,381,1,2.3k,"Job Security, Work Life Balance, Company Culture",NaN,Industrial Machinery | 501-1k Employees | Public | 65 years old | Pune +11 more
1778,Aurigo,4.9,381,22,736,"Job Security, Work Life Balance, Company Culture",NaN,Software Product | 201-500 Employees | 20 years old | Austin +3 more
1779,Chaayos,3.5,380,31,1.5k,NaN,NaN,Hospitality | 1k-5k Employees | 11 years old | Delhi +19 more
1780,TriGeo Technologies,3.1,380,--,1.9k,"Promotions / Appraisal, Salary & Benefits, Company Culture",NaN,IT Services & Consulting | 11-50 Employees | 27 years old | Hyderabad/Secunderabad +5 more
1781,Scientific Publishing Services,3.9,380,--,1.9k,Job Security,"Promotions / Appraisal, Salary & Benefits",Analytics & KPO | 1k-5k Employees | 28 years old | Chennai +4 more
1782,BMC Software,4.3,380,34,3.4k,"Company Culture, Work Life Balance, Salary & Benefits",NaN,Software Product | 1k-5k Employees | 43 years old | Houston +7 more
1783,Herbalife International,4.1,380,47,2.3k,"Company Culture, Work Life Balance, Salary & Benefits",NaN,Healthcare | 1k-5k Employees | 43 years old | Los Angeles +77 more
1784,NxtWave,4.0,380,386,900,"Company Culture, Skill Development / Learning, Salary & Benefits",NaN,EdTech | 1k-5k Employees | Startup | 3 years old | Hyderabad +10 more
1785,Continental,4.1,379,259,2.8k,"Job Security, Work Life Balance, Company Culture",NaN,Auto Components | 5k-10k Employees | Forbes Global 2000 | 152 years old | Hanover +42 more
1786,Pace Setters Business Solutions,3.1,379,--,1.3k,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",NaN,BPO | 201-500 Employees | 17 years old | Mumbai +17 more
1787,Nippon Life India Asset Management,4.5,379,75,609,"Work Life Balance, Company Culture, Job Security",NaN,Financial Services | 1k-5k Employees | Public | 28 years old | Mumbai +116 more
1788,Advantmed,3.7,379,21,2k,NaN,NaN,Software Product | 501-1k Employees | 18 years old | Santa Ana +5 more
1789,Boeing,4.1,378,41,4.8k,"Work Life Balance, Job Security, Company Culture",NaN,Aviation | 1k-5k Employees | Public | 107 years old | Arlington +9 more
1790,Mahindra Automotives,4.1,378,--,2.7k,"Skill Development / Learning, Job Security, Work Satisfaction",NaN,Automobile | 10k-50k Employees | 75 years old | Hyderabad +82 more
1791,Amul India,4.3,378,2,2.1k,"Job Security, Work Life Balance, Work Satisfaction",NaN,1k-5k Employees (Global) | 50 years old | Anand +99 more
1792,Data Entry,4.0,378,5,2.1k,"Work Satisfaction, Skill Development / Learning, Salary & Benefits",NaN,BPO | 51-200 Employees | 24 years old | New Delhi +82 more
1793,Tecnimont,3.7,378,16,2.2k,Job Security,NaN,Engineering & Construction | 1k-5k Employees | 18 years old | Milan +21 more
1794,Axtria,3.5,377,71,3.7k,NaN,NaN,Software Product | 1k-5k Employees | 13 years old | Berkeley Heights +8 more
1795,Shriram Housing Finance,3.8,377,9,1.7k,NaN,NaN,Financial Services | 501-1k Employees | Public | 13 years old | Mumbai +106 more
1796,Thryve Digital,4.1,377,90,3.5k,"Work Life Balance, Job Security, Company Culture",NaN,IT Services & Consulting | 1k-5k Employees | 7 years old | Chennai +3 more
1797,CJ Darcl Logistics Limited,3.9,376,7,1.4k,"Job Security, Skill Development / Learning, Work Life Balance",NaN,Logistics | 1k-5k Employees | 48 years old | Hisar +54 more
1798,Dr. Reddy's Foundation,4.1,376,7,1.5k,"Skill Development / Learning, Work Life Balance, Company Culture",NaN,Non-Profit | 1k-5k Employees | 27 years old | Hyderabad/Secunderabad +72 more
1799,Bahwan CyberTek,4.0,376,20,3k,"Company Culture, Work Life Balance, Skill Development / Learning",NaN,IT Services & Consulting | 1k-5k Employees | 24 years old | Chennai +13 more
1800,Usha Martin,4.0,376,--,1.5k,"Job Security, Work Life Balance, Skill Development / Learning",NaN,Iron & Steel | 1k-5k Employees | Public | 62 years old | Kolkata +26 more
1801,Black Knight,3.5,376,4,3.3k,NaN,NaN,IT Services & Consulting | 501-1k Employees | Startup | 9 years old | Jacksonville +3 more
1802,Autoliv,4.0,375,2,2.1k,"Job Security, Company Culture, Skill Development / Learning",NaN,Auto Components | 1k-5k Employees | 70 years old | Klarabergsviadukten 70 +14 more
1803,AT&T,4.2,375,4,3.4k,"Salary & Benefits, Work Life Balance, Company Culture",NaN,Telecom | 10k-50k Employees | Forbes Global 2000 | 40 years old | Dallas +16 more
1804,Leighton Contractors,4.3,375,22,1.1k,"Salary & Benefits, Company Culture, Skill Development / Learning",NaN,Engineering & Construction | 501-1k Employees | 25 years old | Mumbai +17 more
1805,HP India Sales,4.2,375,1,2.3k,"Company Culture, Work Life Balance, Job Security",NaN,Consumer Electronics & Appliances | 1k-5k Employees | 26 years old | Bengaluru +44 more
1806,AI Airport Services,3.4,375,--,753,"Promotions / Appraisal, Salary & Benefits",NaN,1k-5k Employees | Mumbai +48 more
1807,Technip Energies,4.1,375,101,2.3k,"Job Security, Company Culture, Skill Development / Learning",NaN,Engineering & Construction | 1k-5k Employees | 2 years old | Paris +24 more
1808,Coats,3.9,374,4,1.8k,"Company Culture, Work Life Balance, Skill Development / Learning",NaN,1k-5k Employees | 49 years old | Middlesex +42 more
1809,Reliance Infrastructure,4.0,374,--,2.1k,"Work Life Balance, Company Culture, Skill Development / Learning",NaN,Engineering & Construction | 1k-5k Employees | Public | 94 years old | Mumbai +49 more
1810,B. G. Shirke Construction Technology,4.2,374,6,2.5k,"Job Security, Company Culture, Work Life Balance",NaN,Engineering & Construction | 1k-5k Employees | 79 years old | Pune +20 more
1811,Hamilton Housewares,3.9,373,14,2k,"Job Security, Skill Development / Learning, Company Culture",NaN,Consumer Electronics & Appliances | 1k-5k Employees | 51 years old | Mumbai +28 more
1812,Jiva Ayurvedic Pharmacy,3.7,373,38,1.3k,NaN,NaN,Healthcare | 1k-5k Employees | 31 years old | Faridabad +42 more
1813,Roop Polymers,4.0,372,--,1.7k,"Job Security, Work Life Balance, Skill Development / Learning",NaN,Auto Components | 1k-5k Employees | Public | 50 years old | Gurgaon/Gurugram +18 more
1814,Apollo Health and Lifestyle,4.2,372,2,2.1k,"Work Life Balance, Job Security, Skill Development / Learning",NaN,Healthcare | 501-1k Employees | 21 years old | Hyderabad/Secunderabad +51 more
1815,Baker Hughes,4.0,372,58,3.1k,"Company Culture, Work Life Balance, Salary & Benefits",NaN,Oil & Gas | 1k-5k Employees | Conglomerate | 7 years old | Boston  +31 more
1816,Philips Innovation Campus,3.9,372,--,3.5k,"Work Life Balance, Company Culture",NaN,Healthcare | 1k-5k Employees | Public | 25 years old | Amsterdam +15 more
1817,SIS Prosegur Holdings,3.7,372,--,1.2k,NaN,NaN,Law Enforcement & Security | 10k-50k Employees | 28 years old | Patna +72 more
1818,Metro Group of Hospitals,3.6,371,143,993,NaN,NaN,Healthcare | 10k-50k Employees (Global) | 26 years old | Noida +20 more
1819,Anlitiks,4.8,371,--,3,"Work Life Balance, Job Security, Company Culture",NaN,Hyderabad/Secunderabad +1 more
1820,Castrol,4.2,371,--,1.8k,"Salary & Benefits, Company Culture, Work Life Balance",NaN,Chemicals / Agri Inputs | 501-1k Employees | Public | 124 years old | Pangbourne +84 more
1821,Hindware,4.1,371,2,1.6k,"Work Life Balance, Salary & Benefits, Company Culture",NaN,Building Material | 501-1k Employees | 63 years old | Gurgaon +70 more
1822,Trigent Software,3.8,371,120,3.2k,NaN,NaN,IT Services & Consulting | 1k-5k Employees | 28 years old | Southborough +23 more
1823,Hpl Electric & Power,3.4,370,1,2k,NaN,NaN,Electrical Equipment | 1k-5k Employees | 31 years old | Noida +51 more
1824,Cox & Kings,3.9,370,--,2.1k,Skill Development / Learning,NaN,Travel & Tourism | 1k-5k Employees | 265 years old | Mumbai +48 more
1825,Cvent,3.5,370,191,3.5k,NaN,NaN,IT Services & Consulting | 1k-5k Employees | 24 years old | Fairfax +3 more
1826,CtrlS,3.6,370,15,2.5k,NaN,NaN,IT Services & Consulting | 501-1k Employees | 16 years old | Hyderabad +14 more
1827,Sasken,3.5,369,22,3.4k,NaN,NaN,IT Services & Consulting | 1k-5k Employees | Public | 34 years old | Bangalore/Bengaluru +9 more
1828,Vizag Steel,4.1,369,--,1.4k,"Work Life Balance, Job Security, Skill Development / Learning",NaN,Iron & Steel | 10k-50k Employees | Public | 52 years old | Visakhapatnam/Vizag +19 more
1829,N.C.L. Industries,3.8,369,39,1.6k,NaN,NaN,Building Material | 501-1k Employees | Public | 43 years old | Hyderabad/Secunderabad +51 more
1830,Sterling Holiday Resort,3.8,369,--,1.8k,NaN,NaN,Hospitality | 1k-5k Employees | Public | 37 years old | Chennai +52 more
1831,iNurture Education Solutions,3.1,368,24,1.5k,"Promotions / Appraisal, Salary & Benefits",NaN,EdTech | 501-1k Employees | 18 years old | Bangalore +35 more
1832,Fena,4.1,368,3,1.3k,"Job Security, Salary & Benefits, Company Culture",NaN,Chemicals | 201-500 Employees | 47 years old | Delhi/NCR +62 more
1833,Sanghi Industries,3.6,368,1,2k,NaN,NaN,Building Material | 501-1k Employees | Public | 38 years old | Ahmedabad +22 more
1834,Satyam Auto Components,3.9,367,1,2.3k,Job Security,NaN,Auto Components | 1k-5k Employees | 22 years old | Ludhiana +19 more
1835,Monte Carlo,4.0,367,--,2.1k,"Salary & Benefits, Company Culture, Work Life Balance",NaN,Fashion & Textile | 201-500 Employees | Public | 39 years old | San Francisco +68 more
1836,Hindusthan National Glass,3.7,367,--,1.9k,Promotions / Appraisal,NaN,Packaging | 501-1k Employees | Public | 77 years old | Kolkata +19 more
1837,RAK Ceramics,4.0,367,2,1.6k,"Skill Development / Learning, Job Security",NaN,Building Material | 501-1k Employees | 34 years old | Ras Al Khaimah +39 more
1838,Emerson Electric Co.,4.1,367,232,2.8k,"Job Security, Company Culture, Work Life Balance",NaN,IT Services & Consulting | 5k-10k Employees | Public | 133 years old | St Louis +23 more
1839,Nexdigm,3.3,367,397,2.4k,"Promotions / Appraisal, Salary & Benefits",NaN,Management Consulting | 1k-5k Employees | Pune +10 more
1840,Marelli,3.7,366,--,2.4k,Work Life Balance,NaN,Auto Components | 51-200 Employees | 104 years old | Corbetta +12 more
1841,Toothsi,2.8,366,135,1.7k,"Job Security, Promotions / Appraisal, Work Satisfaction",NaN,Internet | 501-1k Employees | Startup | 5 years old | Mumbai +13 more
1842,Indecomm Global Services,3.5,366,5,3.4k,NaN,NaN,IT Services & Consulting | 1k-5k Employees | 20 years old | Edison +12 more
1843,Novotel Hotels,4.3,366,--,1.5k,"Job Security, Skill Development / Learning, Company Culture",NaN,Hospitality | 1k-5k Employees | 56 years old | Issy les Moulineaux +27 more
1844,Otsuka Pharmaceutical,4.2,366,9,1.5k,"Job Security, Work Life Balance, Company Culture",NaN,Pharma | 201-500 Employees | Forbes Global 2000 | 11 years old | Chiyoda City +31 more
1845,British Council,3.8,365,2,2.3k,"Work Life Balance, Company Culture",NaN,Education & Training | 1k-5k Employees | 89 years old | London +19 more
1846,WayCool Foods and Products,3.6,365,48,2.3k,NaN,NaN,FMCG | 501-1k Employees | 8 years old | Chennai +30 more
1847,Micron Electricals,3.9,365,--,2.2k,NaN,NaN,Engineering & Construction | 1k-5k Employees | 47 years old | Bangalore/Bengaluru +16 more
1848,Me n Moms,4.1,365,5,1.1k,"Skill Development / Learning, Work Satisfaction, Work Life Balance",NaN,Retail | 201-500 Employees | 29 years old | Mumbai +50 more
1849,Pearson Education India,4.2,365,46,2k,"Work Life Balance, Company Culture, Work Satisfaction",NaN,Education & Training | 201-500 Employees | 23 years old | Noida +54 more
1850,Deloitte Digital,4.0,364,18,2.3k,"Company Culture, Skill Development / Learning, Job Security",NaN,IT Services & Consulting | 10k-50k Employees | 6 years old | New York +19 more
1851,Super Smelters,4.0,364,--,1.6k,"Job Security, Skill Development / Learning, Company Culture",NaN,Metals & Mining | 501-1k Employees | 28 years old | Kolkata +14 more
1852,Danfoss Industries,4.1,364,8,2.4k,"Work Life Balance, Company Culture, Skill Development / Learning",NaN,501-1k Employees | 30 years old | Nordborg +17 more
1853,QUICK HEAL TECHNOLOGIES,3.8,364,19,2.7k,Work Life Balance,NaN,Software Product | 1k-5k Employees | Public | 28 years old | Pune +38 more
1854,Reliance Smart,4.2,364,3,1.5k,"Skill Development / Learning, Job Security, Work Life Balance",NaN,Retail | 5k-10k Employees | Public | 17 years old | Mumbai +150 more
1855,JM Financial,3.8,363,6,3.1k,NaN,NaN,Financial Services | 1k-5k Employees | Public | 39 years old | Mumbai +49 more
1856,Einfochips,3.5,363,17,2.8k,NaN,NaN,IT Services & Consulting | 1k-5k Employees | 29 years old | San Jose +9 more
1857,CRYSTAL CROP PROTECTION,3.8,363,--,1.5k,NaN,NaN,Agro Chemicals | 1k-5k Employees | Public | 43 years old | Delhi/NCR +61 more
1858,Carlsberg,4.2,363,3,1.7k,"Salary & Benefits, Work Life Balance, Company Culture",NaN,Beverage | 1k-5k Employees | Forbes Global 2000 | 176 years old | Vesterbro +52 more
1859,Lite Bite Foods,4.4,362,5,1.5k,"Company Culture, Skill Development / Learning, Job Security",NaN,Food Processing | 1k-5k Employees | 22 years old | Gurgaon/Gurugram +19 more
1860,Lite Bite Foods,4.4,362,5,1.5k,"Company Culture, Skill Development / Learning, Job Security",NaN,Food Processing | 1k-5k Employees | 22 years old | Gurgaon/Gurugram +19 more
1861,Acme Generics LLP,4.5,361,--,1.1k,"Skill Development / Learning, Salary & Benefits, Work Life Balance",NaN,Pharma | 1k-5k Employees | 18 years old | Baddi +17 more
1862,ExxonMobil,3.8,361,18,2.8k,Salary & Benefits,NaN,Oil & Gas | 1k-5k Employees | Public | 2023 years old | Irving +30 more
1863,MAHLE Behr India,4.1,361,--,1.3k,"Job Security, Company Culture, Skill Development / Learning",NaN,Auto Components | 1k-5k Employees | 26 years old | Pune +7 more
1864,IDBI Intech,3.7,361,15,2.4k,"Job Security, Work Life Balance",Promotions / Appraisal,IT Services & Consulting | 1k-5k Employees | Central | 23 years old | Navi Mumbai +22 more
1865,Carrier,4.0,361,113,2.7k,"Work Life Balance, Company Culture, Job Security",NaN,Consumer Electronics & Appliances | 1k-5k Employees | 108 years old | Florida +37 more
1866,BLK Super Speciality Hospital,3.9,361,--,1.3k,Skill Development / Learning,NaN,Healthcare | 501-1k Employees | 64 years old | Delhi/NCR +9 more
1867,Cyfuture,3.4,361,68,2.4k,NaN,NaN,IT Services & Consulting | 201-500 Employees | 22 years old | Noida +27 more
1868,Efs Facilities Services,4.0,360,--,1.1k,"Skill Development / Learning, Company Culture, Job Security",NaN,Facility Management Services | 201-500 Employees | 17 years old | Dubai +48 more
1869,Turtlemint,3.6,360,89,1.6k,NaN,NaN,Internet | 1k-5k Employees | Startup | 8 years old | Mumbai +77 more
1870,Onshore Construction,3.8,360,1,1.7k,NaN,NaN,Engineering & Construction | 201-500 Employees | 28 years old | Mumbai +26 more
1871,Glaze Trading India,4.0,360,2,1.3k,"Skill Development / Learning, Company Culture, Work Life Balance",NaN,Retail | 5k-10k Employees | 20 years old | Delhi/NCR +76 more
1872,Fino Paytech,4.0,360,--,1.1k,"Skill Development / Learning, Company Culture, Work Life Balance",NaN,FinTech | 51-200 Employees | 17 years old | Mumbai +86 more
1873,Venky's,3.7,360,24,1.4k,Job Security,Promotions / Appraisal,FMCG | 5k-10k Employees | Public | 47 years old | Pune +61 more
1874,TVS Eurogrip,3.6,360,4,1.6k,NaN,NaN,Auto Components | 1k-5k Employees | Public | 41 years old | Madurai +51 more
1875,Williams Lea,3.7,359,11,3k,NaN,NaN,BPO | 1k-5k Employees | Public | 203 years old | New York +12 more
1876,Universal Sompo General Insurance,3.7,359,--,1.8k,NaN,NaN,Insurance | 1k-5k Employees | 16 years old | Mumbai +77 more
1877,Virtual Employee,3.4,359,8,3.1k,Promotions / Appraisal,NaN,Recruitment | 1k-5k Employees | 16 years old | Noida +13 more
1878,Country Holidays Travel India,4.4,359,--,15,"Work Life Balance, Company Culture, Work Satisfaction",NaN,Travel & Tourism | 201-500 Employees | Startup | 1 years old | New Delhi +12 more
1879,Baazar Kolkata,4.3,359,--,873,"Work Life Balance, Company Culture, Job Security",NaN,Retail | 1k-5k Employees | 21 years old | Kolkata +66 more
1880,NICE,3.9,358,16,3k,"Company Culture, Job Security, Skill Development / Learning",NaN,Software Product | 1k-5k Employees | Public | 37 years old | Pune +13 more
1881,South Indian Bank,3.7,358,--,2.3k,"Job Security, Salary & Benefits",NaN,Banking | 1k-5k Employees | Public | 94 years old | Thrissur/Trichur +61 more
1882,RealPage,3.8,357,156,3k,"Company Culture, Work Life Balance",NaN,IT Services & Consulting | 1k-5k Employees | 25 years old | Richardson +6 more
1883,SLMG Beverages,3.9,357,1,1.6k,NaN,NaN,Beverage | 51-200 Employees | Lucknow +42 more
1884,Sulzer,3.9,357,4,2.2k,NaN,NaN,Industrial Machinery | 501-1k Employees | 189 years old | Winterthur +17 more
1885,Bharat Biotech International,3.0,356,--,1.7k,"Promotions / Appraisal, Salary & Benefits, Company Culture",NaN,Biotechnology | 1k-5k Employees | 27 years old | Hyderabad +25 more
1886,Impetus Technologies,3.7,356,47,3.5k,Job Security,NaN,IT Services & Consulting | 1k-5k Employees | 32 years old | Los Gatos +16 more
1887,QHTalbros,3.5,356,--,1.4k,Promotions / Appraisal,NaN,Auto Components | 5k-10k Employees | Public | 37 years old | Gurgaon/Gurugram +16 more
1888,Sarovar Hotels & Resorts,4.2,355,8,1.5k,"Work Life Balance, Skill Development / Learning, Work Satisfaction",NaN,Hospitality | 1k-5k Employees | 27 years old | Gurgaon/Gurugram +57 more
1889,Mahanagar Gas,4.2,355,--,2.1k,"Work Life Balance, Company Culture, Job Security",NaN,Oil & Gas | 501-1k Employees | Public | 28 years old | Mumbai +21 more
1890,Vindhya Telelinks,4.0,355,--,1.6k,Job Security,NaN,Hardware & Networking | 501-1k Employees | Public | 40 years old | Delhi/NCR +50 more
1891,Dr. Batras' Positive Health Clinic,3.4,355,15,1.2k,NaN,NaN,Healthcare | 5k-10k Employees | 41 years old | Mumbai +79 more
1892,Petpooja,4.5,355,24,676,"Company Culture, Skill Development / Learning, Work Satisfaction",NaN,Software Product | 1k-5k Employees | 12 years old | Ahmedabad +33 more
1893,Wellness Forever Medicare,3.9,354,3,1.5k,"Skill Development / Learning, Company Culture",NaN,Retail | 1k-5k Employees | 15 years old | Mumbai +28 more
1894,Mecon,4.0,354,--,1.7k,"Work Life Balance, Skill Development / Learning",Promotions / Appraisal,Metals & Mining | 1k-5k Employees | State | 64 years old | Ranchi +40 more
1895,Five-star Business Finance,4.3,354,2,1.4k,"Job Security, Company Culture, Work Satisfaction",NaN,NBFC | 5k-10k Employees | Public | 39 years old | Chennai +133 more
